Wall time,Step,Value
1506866898.9754627,42,3.6664958000183105
1506866899.4658105,45,3.5935051441192627
1506866903.8799925,71,3.7278647422790527
1506866907.7388167,94,3.86098575592041
1506866919.169696,158,3.389988660812378
1506866920.5481954,167,3.4204845428466797
1506866931.1757867,229,3.562319278717041
1506866932.009087,234,3.5765440464019775
1506866935.847559,255,3.631108283996582
1506866938.9550421,273,3.6399903297424316
1506866944.9407668,308,3.614936590194702
1506866945.253424,310,3.5241377353668213
1506866946.7001579,318,3.427232265472412
1506866964.2130215,421,3.5459108352661133
1506866971.0865796,460,3.7277865409851074
1506866973.345885,474,3.601975202560425
1506866983.9642258,536,3.502552032470703
1506866988.5465097,563,3.563568353652954
1506866991.232861,579,3.6851277351379395
1506866992.3449328,586,3.3809986114501953
1506867000.5156736,634,3.4711673259735107
1506867002.686669,647,3.576012372970581
1506867004.9595199,661,3.7258176803588867
1506867006.5765967,671,3.416792631149292
1506867013.9902031,714,3.5725131034851074
1506867015.4920626,722,3.5241880416870117
1506867023.6268508,771,3.540825843811035
1506867026.0544312,785,3.5170247554779053
1506867026.4133558,787,3.6576733589172363
1506867028.994412,802,3.5521774291992188
1506867030.102563,808,3.556123733520508
1506867035.1253395,836,3.502384662628174
1506867053.0843675,945,3.7153804302215576
1506867057.3337276,971,3.50394868850708
1506867057.487154,972,3.6039066314697266
1506867058.5099192,978,3.647029161453247
1506867062.9046335,1005,3.7232298851013184
1506867064.3509703,1014,3.5156233310699463
1506867072.5035996,1063,3.571138620376587
1506867072.9549968,1066,3.594411849975586
1506867077.4560173,1093,3.61579966545105
1506867079.2288866,1104,3.607144594192505
1506867088.592006,1161,3.5868587493896484
1506867091.7827294,1180,3.509772539138794
1506867105.7721078,1261,3.551140785217285
1506867115.3073876,1316,3.4074578285217285
1506867115.807769,1319,3.483198404312134
1506867118.3877857,1333,3.6077892780303955
1506867119.0151596,1337,3.606872797012329
1506867126.9256964,1385,3.502784490585327
1506867128.1189666,1392,3.5901808738708496
1506867132.1922326,1414,3.476114273071289
1506867134.2076514,1426,3.481107234954834
1506867135.86397,1436,3.5058860778808594
1506867141.162843,1466,3.5349698066711426
1506867145.3217218,1491,3.5828428268432617
1506867150.9196572,1523,3.56069278717041
1506867155.8815172,1552,3.577718734741211
1506867158.6745708,1568,3.5742554664611816
1506867161.6803105,1584,3.389716386795044
1506867165.2954948,1605,3.444868326187134
1506867171.2321951,1640,3.594836711883545
1506867179.6997147,1691,3.552277088165283
1506867182.8484151,1709,3.558502435684204
1506867184.2307796,1718,3.6756651401519775
1506867186.5327287,1732,3.5250604152679443
1506867186.8448763,1734,3.53529691696167
1506867187.312888,1737,3.4667768478393555
1506867194.4867938,1781,3.5601887702941895
1506867202.5353503,1826,3.786990165710449
1506867205.5980911,1844,3.4070229530334473
1506867207.002194,1853,3.5021934509277344
1506867209.217735,1866,3.5736489295959473
1506867209.7147334,1869,3.585817337036133
1506867210.9686716,1877,3.560873031616211
1506867217.4368849,1917,3.369513511657715
1506867220.4275525,1934,3.427699089050293
1506867222.608772,1947,3.430755853652954
1506867232.0756752,2001,3.4691171646118164
1506867238.4961693,2036,3.503432512283325
1506867245.3970306,2077,3.5313258171081543
1506867248.5719764,2096,3.6266820430755615
1506867264.2420762,2187,3.6792426109313965
1506867266.178869,2199,3.2754080295562744
1506867268.3934214,2211,3.9713048934936523
1506867271.8436694,2231,3.711928367614746
1506867272.7235997,2236,3.5790364742279053
1506867272.8731494,2237,3.5548524856567383
1506867276.2903457,2257,3.4862427711486816
1506867277.0937285,2262,3.521911382675171
1506867284.684865,2307,3.7853589057922363
1506867286.7576804,2319,3.6338281631469727
1506867292.9044535,2354,3.5736703872680664
1506867298.6420057,2389,3.3242692947387695
1506867298.7931643,2390,3.666508436203003
1506867299.1038802,2392,3.7604305744171143
1506867306.2876987,2436,3.9200737476348877
1506867309.0733454,2453,3.7598323822021484
1506867309.4086227,2455,3.7367892265319824
1506867310.2217624,2460,3.345454216003418
1506867314.4826407,2485,4.048603057861328
1506867314.6570501,2486,3.802278995513916
1506867316.2439258,2496,4.105110168457031
1506867316.5726469,2498,3.4957728385925293
1506867317.4103396,2503,3.793180465698242
1506867321.9932828,2532,3.7433290481567383
1506867324.4411542,2547,3.742736577987671
1506867325.4319816,2553,3.641037940979004
1506867346.93133,2685,3.6290955543518066
1506867355.8477998,2740,3.217240333557129
1506867358.1404355,2754,3.3183789253234863
1506867364.337606,2789,3.416280508041382
1506867382.8598378,2896,4.199411392211914
1506867393.985224,2967,3.4067721366882324
1506867401.171947,3011,3.0038180351257324
1506867405.9499252,3038,3.8335893154144287
1506867406.4672983,3041,2.798537254333496
1506867416.0177114,3099,3.218502998352051
1506867426.9406712,3161,3.167025089263916
1506867432.9458673,3196,3.277606964111328
1506867438.624553,3230,3.4497570991516113
1506867440.777743,3244,2.6459908485412598
1506867441.092121,3246,3.3715169429779053
1506867441.2433765,3247,3.656564950942993
1506867451.1212473,3305,2.5513930320739746
1506867462.410997,3376,3.4841856956481934
1506867467.854369,3408,3.301839828491211
1506867475.210881,3449,3.250382900238037
1506867480.7984333,3480,3.5553526878356934
1506867501.863315,3600,2.7237372398376465
1506867504.9066522,3618,3.173643112182617
1506867505.2711732,3620,2.640965461730957
1506867513.843247,3670,3.60129976272583
1506867523.2569067,3726,3.7126617431640625
1506867525.5883942,3741,2.804271936416626
1506867534.6173468,3793,2.229203462600708
1506867538.3373392,3814,2.5682027339935303
