Wall time,Step,Value
1506866898.9754627,42,3.8159401416778564
1506866899.4658105,45,3.5549886226654053
1506866903.8799925,71,3.664543628692627
1506866907.7388167,94,3.5603013038635254
1506866919.169696,158,3.4289441108703613
1506866920.5481954,167,3.6172752380371094
1506866931.1757867,229,3.6634182929992676
1506866932.009087,234,3.3201236724853516
1506866935.847559,255,3.7051854133605957
1506866938.9550421,273,3.4962356090545654
1506866944.9407668,308,3.54478120803833
1506866945.253424,310,3.635075330734253
1506866946.7001579,318,3.6573972702026367
1506866964.2130215,421,3.601191997528076
1506866971.0865796,460,3.582742691040039
1506866973.345885,474,3.650524616241455
1506866983.9642258,536,3.617506742477417
1506866988.5465097,563,3.555072784423828
1506866991.232861,579,3.7240593433380127
1506866992.3449328,586,3.48169207572937
1506867000.5156736,634,3.542687177658081
1506867002.686669,647,3.4952220916748047
1506867004.9595199,661,3.699237823486328
1506867006.5765967,671,3.4504482746124268
1506867013.9902031,714,3.4461236000061035
1506867015.4920626,722,3.47517466545105
1506867023.6268508,771,3.4785399436950684
1506867026.0544312,785,3.5501298904418945
1506867026.4133558,787,3.451899290084839
1506867028.994412,802,3.631777763366699
1506867030.102563,808,3.498548984527588
1506867035.1253395,836,3.629776954650879
1506867053.0843675,945,3.5881612300872803
1506867057.3337276,971,3.5475711822509766
1506867057.487154,972,3.4819040298461914
1506867058.5099192,978,3.476699113845825
1506867062.9046335,1005,3.5841331481933594
1506867064.3509703,1014,3.5833332538604736
1506867072.5035996,1063,3.5252885818481445
1506867072.9549968,1066,3.4954869747161865
1506867077.4560173,1093,3.5422861576080322
1506867079.2288866,1104,3.477145195007324
1506867088.592006,1161,3.51705265045166
1506867091.7827294,1180,3.527433156967163
1506867105.7721078,1261,3.6095705032348633
1506867115.3073876,1316,3.5046393871307373
1506867115.807769,1319,3.500932216644287
1506867118.3877857,1333,3.5711517333984375
1506867119.0151596,1337,3.4867701530456543
1506867126.9256964,1385,3.4870262145996094
1506867128.1189666,1392,3.5500388145446777
1506867132.1922326,1414,3.5021860599517822
1506867134.2076514,1426,3.530186176300049
1506867135.86397,1436,3.5161874294281006
1506867141.162843,1466,3.4395203590393066
1506867145.3217218,1491,3.601613998413086
1506867150.9196572,1523,3.6603434085845947
1506867155.8815172,1552,3.551194667816162
1506867158.6745708,1568,3.498453140258789
1506867161.6803105,1584,3.5985307693481445
1506867165.2954948,1605,3.583361864089966
1506867171.2321951,1640,3.4999117851257324
1506867179.6997147,1691,3.5875258445739746
1506867182.8484151,1709,3.4907283782958984
1506867184.2307796,1718,3.5733752250671387
1506867186.5327287,1732,3.5218777656555176
1506867186.8448763,1734,3.648162841796875
1506867187.312888,1737,3.44303035736084
1506867194.4867938,1781,3.394911050796509
1506867202.5353503,1826,3.6989879608154297
1506867205.5980911,1844,3.446720600128174
1506867207.002194,1853,3.546387195587158
1506867209.217735,1866,3.5604500770568848
1506867209.7147334,1869,3.529390573501587
1506867210.9686716,1877,3.5420470237731934
1506867217.4368849,1917,3.568417549133301
1506867220.4275525,1934,3.561328887939453
1506867222.608772,1947,3.466465473175049
1506867232.0756752,2001,3.63753604888916
1506867238.4961693,2036,3.4446516036987305
1506867245.3970306,2077,3.674570322036743
1506867248.5719764,2096,3.4217529296875
1506867264.2420762,2187,3.380248785018921
1506867266.178869,2199,3.4592456817626953
1506867268.3934214,2211,3.630277156829834
1506867271.8436694,2231,3.655726671218872
1506867272.7235997,2236,3.361708164215088
1506867272.8731494,2237,3.4151837825775146
1506867276.2903457,2257,3.4228310585021973
1506867277.0937285,2262,3.425222396850586
1506867284.684865,2307,3.804539680480957
1506867286.7576804,2319,3.457108497619629
1506867292.9044535,2354,3.231778621673584
1506867298.6420057,2389,3.421947717666626
1506867298.7931643,2390,3.430558443069458
1506867299.1038802,2392,2.9333605766296387
1506867306.2876987,2436,3.1011617183685303
1506867309.0733454,2453,2.9393134117126465
1506867309.4086227,2455,3.643137216567993
1506867310.2217624,2460,3.569037437438965
1506867314.4826407,2485,3.1229381561279297
1506867314.6570501,2486,3.157550811767578
1506867316.2439258,2496,2.850639820098877
1506867316.5726469,2498,3.4550223350524902
1506867317.4103396,2503,3.265770435333252
1506867321.9932828,2532,3.299251079559326
1506867324.4411542,2547,3.1934027671813965
1506867325.4319816,2553,3.2171473503112793
1506867346.93133,2685,3.2678873538970947
1506867355.8477998,2740,2.984647750854492
1506867358.1404355,2754,3.450314521789551
1506867364.337606,2789,3.2632932662963867
