Wall time,Step,Value
1506866898.9754627,42,3.830333709716797
1506866899.4658105,45,3.682009220123291
1506866903.8799925,71,3.433880567550659
1506866907.7388167,94,3.536673069000244
1506866919.169696,158,3.5870232582092285
1506866920.5481954,167,3.788543462753296
1506866931.1757867,229,3.580101490020752
1506866932.009087,234,3.592845916748047
1506866935.847559,255,3.6943764686584473
1506866938.9550421,273,3.480545997619629
1506866944.9407668,308,3.659695863723755
1506866945.253424,310,3.706869602203369
1506866946.7001579,318,3.3991775512695312
1506866964.2130215,421,3.5293779373168945
1506866971.0865796,460,3.5950491428375244
1506866973.345885,474,3.632366180419922
1506866983.9642258,536,3.5941696166992188
1506866988.5465097,563,3.6245665550231934
1506866991.232861,579,3.5760061740875244
1506866992.3449328,586,3.5435657501220703
1506867000.5156736,634,3.6017558574676514
1506867002.686669,647,3.6858115196228027
1506867004.9595199,661,3.4659321308135986
1506867006.5765967,671,3.460477828979492
1506867013.9902031,714,3.525188446044922
1506867015.4920626,722,3.4697537422180176
1506867023.6268508,771,3.515770435333252
1506867026.0544312,785,3.577570915222168
1506867026.4133558,787,3.484774112701416
1506867028.994412,802,3.5934717655181885
1506867030.102563,808,3.508388042449951
1506867035.1253395,836,3.6568591594696045
1506867053.0843675,945,3.62904691696167
1506867057.3337276,971,3.6536669731140137
1506867057.487154,972,3.6216506958007812
1506867058.5099192,978,3.4588794708251953
1506867062.9046335,1005,3.5396528244018555
1506867064.3509703,1014,3.5201668739318848
1506867072.5035996,1063,3.540191173553467
1506867072.9549968,1066,3.499608039855957
1506867077.4560173,1093,3.635683059692383
1506867079.2288866,1104,3.6263468265533447
1506867088.592006,1161,3.5844922065734863
1506867091.7827294,1180,3.5722622871398926
1506867105.7721078,1261,3.604682445526123
1506867115.3073876,1316,3.4500207901000977
1506867115.807769,1319,3.592519760131836
1506867118.3877857,1333,3.5528292655944824
1506867119.0151596,1337,3.5148162841796875
1506867126.9256964,1385,3.519150495529175
1506867128.1189666,1392,3.412623405456543
1506867132.1922326,1414,3.565772533416748
1506867134.2076514,1426,3.6830387115478516
1506867135.86397,1436,3.665598154067993
1506867141.162843,1466,3.5150222778320312
1506867145.3217218,1491,3.568969249725342
1506867150.9196572,1523,3.5044283866882324
1506867155.8815172,1552,3.4629225730895996
1506867158.6745708,1568,3.6836588382720947
1506867161.6803105,1584,3.491367816925049
1506867165.2954948,1605,3.498211145401001
1506867171.2321951,1640,3.4084854125976562
1506867179.6997147,1691,3.567145347595215
1506867182.8484151,1709,3.544917345046997
1506867184.2307796,1718,3.4925355911254883
1506867186.5327287,1732,3.594186305999756
1506867186.8448763,1734,3.5466909408569336
1506867187.312888,1737,3.592562198638916
1506867194.4867938,1781,3.4693737030029297
1506867202.5353503,1826,3.5745697021484375
1506867205.5980911,1844,3.629631519317627
1506867207.002194,1853,3.597268581390381
1506867209.217735,1866,3.587207078933716
1506867209.7147334,1869,3.5337836742401123
1506867210.9686716,1877,3.672840118408203
1506867217.4368849,1917,3.602895736694336
1506867220.4275525,1934,3.5753462314605713
1506867222.608772,1947,3.429288148880005
1506867232.0756752,2001,3.411721706390381
1506867238.4961693,2036,3.6107659339904785
1506867245.3970306,2077,3.6110117435455322
1506867248.5719764,2096,3.462606191635132
1506867264.2420762,2187,3.4584617614746094
1506867266.178869,2199,3.709425926208496
1506867268.3934214,2211,3.39502215385437
1506867271.8436694,2231,3.194056987762451
1506867272.7235997,2236,3.426792860031128
1506867272.8731494,2237,3.4788007736206055
1506867276.2903457,2257,3.6578426361083984
1506867277.0937285,2262,3.397027015686035
1506867284.684865,2307,3.5931174755096436
1506867286.7576804,2319,3.1421964168548584
1506867292.9044535,2354,3.3167567253112793
1506867298.6420057,2389,3.300665855407715
1506867298.7931643,2390,3.630188465118408
1506867299.1038802,2392,2.908273458480835
1506867306.2876987,2436,4.288640975952148
1506867309.0733454,2453,3.5876479148864746
1506867309.4086227,2455,3.3998842239379883
1506867310.2217624,2460,3.5112152099609375
1506867314.4826407,2485,3.636934757232666
1506867314.6570501,2486,3.7378811836242676
1506867316.2439258,2496,3.742546558380127
1506867316.5726469,2498,3.489694833755493
1506867317.4103396,2503,3.1768271923065186
1506867321.9932828,2532,2.8078365325927734
1506867324.4411542,2547,3.6498966217041016
1506867325.4319816,2553,3.4670538902282715
